fit-54.3	america		exist-47.1-1	Synset('fear.n.01')
continue-55.3	Synset('commerce.n.01')		appear-48.1.1	dow
appear-48.1.1	Synset('tax.n.01')		convert-26.6.2	Synset('capitalist.n.02')
dow	send-11.1-1		Synset('content.n.05')	Synset('application.n.01')
other_cos-45.4	Synset('educational_institution.n.01')		exist-47.1-1	Synset('interest.n.01')
Synset('collection.n.01')	Synset('merchant.n.01')		Synset('monetary_unit.n.01')	Synset('commerce.n.01')
other_cos-45.4	Synset('rate.n.01')		Synset('transaction.n.01')	Synset('interest.n.01')
run-51.3.2	Synset('leader.n.01')		appear-48.1.1	Synset('danger.n.03')
other_cos-45.4	Synset('indefinite_quantity.n.01')		appear-48.1.1	Synset('danger.n.03')
appear-48.1.1	Synset('discussion.n.02')		Synset('job_action.n.01')	carry-11.4
Synset('tax.n.01')	Synset('negative_stimulus.n.01')		other_cos-45.4	Synset('monetary_unit.n.01')
force-59	Synset('slav.n.01')		other_cos-45.4	kosovo
Synset('military_action.n.01')	iraq		Synset('value.n.02')	Synset('capital.n.01')
Synset('happening.n.01')	consider-29.9-1-1-1		appear-48.1.1	Synset('material.n.01')
admire-31.2	Synset('administrative_district.n.01')		Synset('educational_institution.n.01')	newark
Synset('military_action.n.01')	iraq		appear-48.1.1	Synset('value.n.02')
appear-48.1.1	Synset('strain.n.04')		begin-55.1-1	Synset('lipid.n.01')
other_cos-45.4	Synset('activity.n.01')		appear-48.1.1	Synset('municipality.n.01')
escape-51.1-1	Synset('asian.n.01')		amuse-31.1	Synset('inhabitant.n.01')
convert-26.6.2	Synset('transaction.n.01')		Synset('happening.n.01')	Synset('levy.n.01')
conjecture-29.5-1	Synset('tax.n.01')		Synset('framework.n.03')	Synset('flow.n.01')
near	Synset('point.n.06')		judgement-33	Synset('legal_document.n.01')
Synset('framework.n.03')	send-11.1-1		other_cos-45.4	Synset('anticipation.n.01')
calibratable_cos-45.6-1	Synset('american.n.01')		Synset('activity.n.01')	convert-26.6.2
neglect-75-1-1	Synset('transaction.n.01')		other_cos-45.4	Synset('belief.n.01')
contribute-13.2-1	dow		Synset('framework.n.03')	send-11.1-1
Synset('discussion.n.02')	linger-53.1-1		Synset('person.n.01')	murder-42.1-1
calibratable_cos-45.6-1	Synset('reimbursement.n.01')		calibratable_cos-45.6-1	Synset('motor_vehicle.n.01')
amuse-31.1	Synset('capitalist.n.02')		send-11.1	Synset('decrease.n.02')
calibratable_cos-45.6-1	Synset('activity.n.01')		Synset('person.n.01')	poison-42.2
ferret-35.6	Synset('capitalist.n.02')		Synset('value.n.02')	Synset('gathering.n.01')
appear-48.1.1	Synset('income.n.01')		calibratable_cos-45.6-1	Synset('maker.n.01')
other_cos-45.4	Synset('share.n.01')		calibratable_cos-45.6-1	dow
escape-51.1-2	Synset('aggression.n.03')		amuse-31.1	iraq
Synset('emotion.n.01')	Synset('economic_process.n.01')		Synset('value.n.02')	Synset('attraction.n.01')
other_cos-45.4	Synset('atmospheric_phenomenon.n.01')		Synset('quality.n.01')	Synset('nonaccomplishment.n.01')
continue-55.3	Synset('conflict.n.01')		Synset('person.n.01')	run-51.3.2
Synset('value.n.02')	Synset('lipid.n.01')		calibratable_cos-45.6-1	Synset('capital.n.01')
Synset('collection.n.01')	Synset('capitalist.n.02')		amuse-31.1	Synset('value.n.02')
dow	send-11.1-1		Synset('activity.n.01')	bring-11.3
other_cos-45.4	Synset('person.n.01')		appear-48.1.1	Synset('time_period.n.01')
Synset('discussion.n.02')	Synset('peace.n.01')		Synset('military_action.n.01')	beirut
amuse-31.1	neglect-75-1-1		Synset('monetary_unit.n.01')	Synset('evaluation.n.02')
appear-48.1.1	Synset('economic_process.n.01')		appear-48.1.1	Synset('tax.n.01')
conjecture-29.5-1	Synset('agent.n.05')		stop-55.4-1	Synset('value.n.02')
Synset('document.n.01')	await		appear-48.1.1	Synset('attraction.n.01')
exist-47.1-1	Synset('evaluation.n.02')		Synset('monetary_unit.n.01')	Synset('decrease.n.02')
appear-48.1.1	Synset('attempt.n.01')		Synset('disorder.n.03')	reign
amuse-31.1	Synset('request.n.01')		Synset('value.n.02')	Synset('small_indefinite_quantity.n.01')
amuse-31.1	Synset('bridge.n.05')		appear-48.1.1	Synset('small_indefinite_quantity.n.01')
begin-55.1-1	Synset('value.n.02')		appear-48.1.1	Synset('insufficiency.n.03')
bring-11.3	Synset('building.n.01')		Synset('woody_plant.n.01')	Synset('duty.n.02')
exist-47.1-1	Synset('measure.n.02')		calibratable_cos-45.6-1	dow
Synset('economic_process.n.01')	Synset('negative_stimulus.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
Synset('time_period.n.01')	braid-41.2.2		Synset('military_action.n.01')	Synset('legislature.n.01')
amuse-31.1	Synset('serviceman.n.01')		indicate-78-1	Synset('adult.n.01')
Synset('discussion.n.02')	Synset('class.n.03')		Synset('happening.n.01')	Synset('organization.n.01')
Synset('legal_document.n.01')	Synset('legislature.n.01')		escape-51.1-2	Synset('legislature.n.01')
fill-9.8	Synset('attack.n.01')		Synset('politician.n.02')	appoint-29.1
cheat-10.6-1	Synset('economic_process.n.01')		Synset('value.n.02')	Synset('funds.n.01')
Synset('emergence.n.01')	Synset('precious_metal.n.01')		Synset('monetary_unit.n.01')	Synset('time_unit.n.01')
Synset('woody_plant.n.01')	Synset('meeting.n.04')		characterize-29.2	gore
crane-40.3.2	correspond-36.1		Synset('monetary_unit.n.01')	Synset('longing.n.01')
Synset('emotion.n.01')	cheat-10.6-1		Synset('indefinite_quantity.n.01')	conjecture-29.5-2
appear-48.1.1	Synset('job_action.n.01')		Synset('value.n.02')	Synset('conductor.n.02')
battle-36.4-1	Synset('federal_government.n.01')		admire-31.2	Synset('municipality.n.01')
Synset('collection.n.01')	Synset('merchant.n.01')		Synset('monetary_unit.n.01')	Synset('change_of_location.n.01')
admire-31.2	Synset('woman.n.01')		Synset('natural_object.n.01')	characterize-29.2-1-1
Synset('military_action.n.01')	Synset('body_of_water.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
Synset('residence.n.01')	contiguous_location-47.8		clinton	Synset('time.n.05')
amuse-31.1	Synset('agent.n.05')		Synset('framework.n.03')	Synset('swimming.n.01')
contiguous_location-47.8	Synset('tax.n.01')		calibratable_cos-45.6-1	dow
amuse-31.1	Synset('federal_government.n.01')		convert-26.6.2	Synset('relief.n.02')
Synset('person.n.01')	Synset('force.n.04')		admire-31.2	Synset('woman.n.01')
calibratable_cos-45.6-1	Synset('cereal.n.01')		Synset('lipid.n.01')	Synset('tube.n.01')
other_cos-45.4	Synset('organic_process.n.01')		appear-48.1.1	Synset('payment.n.02')
Synset('emotion.n.01')	Synset('curiosity.n.01')		appear-48.1.1	Synset('value.n.02')
Synset('emotion.n.01')	ebb		calibratable_cos-45.6-1	Synset('longing.n.01')
Synset('activity.n.01')	Synset('federal_government.n.01')		appear-48.1.1	Synset('monetary_unit.n.01')
stop-55.4-1	Synset('legislature.n.01')		Synset('municipality.n.01')	complete-55.2
continue-55.3	Synset('emergence.n.01')		stop-55.4-1	Synset('conference.n.03')
Synset('value.n.02')	Synset('lipid.n.01')		other_cos-45.4	Synset('message.n.02')
near	Synset('vote.n.02')		get-13.5.1	Synset('organization.n.01')
other_cos-45.4	Synset('negative_stimulus.n.01')		calibratable_cos-45.6-1	Synset('lipid.n.01')
calibratable_cos-45.6-1	Synset('tax.n.01')		hong	kong
Synset('influence.n.01')	u.n.		murder-42.1-1	lebanon
Synset('income.n.01')	lag		other_cos-45.4	Synset('computer_network.n.01')
Synset('discussion.n.02')	neglect-75-1-1		begin-55.1-1	Synset('job_action.n.01')
characterize-29.2-1	Synset('possibility.n.02')		calibratable_cos-45.6-1	Synset('value.n.02')
bump-18.4	Synset('motor_vehicle.n.01')		murder-42.1-1	Synset('ill_health.n.01')
Synset('gathering.n.01')	Synset('body.n.02')		Synset('activity.n.01')	bill-54.5
Synset('value.n.02')	send-11.1-1		stop-55.4-1	Synset('funds.n.01')
other_cos-45.4	Synset('atmospheric_phenomenon.n.01')		Synset('lipid.n.01')	Synset('sphere.n.05')
bring-11.3	Synset('grasping.n.02')		Synset('idea.n.01')	Synset('structure.n.01')
begin-55.1-1	Synset('legislature.n.01')		appear-48.1.1	Synset('physical_phenomenon.n.01')
conjecture-29.5-1	Synset('bodily_process.n.01')		clinton	Synset('approval.n.04')
Synset('activity.n.01')	await		crane-40.3.2	Synset('monetary_unit.n.01')
force-59	Synset('slav.n.01')		bring-11.3	Synset('idea.n.01')
calibratable_cos-45.6-1	Synset('approval.n.04')		appear-48.1.1	Synset('anticipation.n.01')
continue-55.3	Synset('computer_network.n.01')		calibratable_cos-45.6-1	Synset('capital.n.01')
other_cos-45.4	Synset('magnitude_relation.n.01')		calibratable_cos-45.6-1	Synset('framework.n.03')
appear-48.1.1	Synset('aggression.n.03')		other_cos-45.4	Synset('safety.n.01')
Synset('discussion.n.02')	Synset('legislature.n.01')		begin-55.1-1	Synset('organization.n.01')
other_cos-45.4	Synset('emotion.n.01')		Synset('attraction.n.01')	Synset('sphere.n.05')
Synset('activity.n.01')	characterize-29.2		Synset('activity.n.01')	force-59
Synset('military_action.n.01')	Synset('unit.n.03')		near	Synset('attempt.n.01')
Synset('value.n.02')	Synset('precious_metal.n.01')		Synset('monetary_unit.n.01')	continue-55.3
Synset('gathering.n.01')	modes_of_being_with_motion-47.3		Synset('monetary_unit.n.01')	Synset('sphere.n.05')
exist-47.1-1	Synset('merchant.n.01')		Synset('attraction.n.01')	send-11.1-1
escape-51.1-2	Synset('job_action.n.01')		other_cos-45.4	Synset('class.n.03')
conjecture-29.5-1	Synset('peace.n.01')		Synset('discussion.n.02')	Synset('order.n.03')
Synset('military_action.n.01')	Synset('fund.n.01')		amuse-31.1	Synset('monetary_unit.n.01')
Synset('activity.n.01')	ferret-35.6		calibratable_cos-45.6-1	Synset('value.n.02')
Synset('value.n.02')	Synset('fuel.n.01')		judgement-33	Synset('politician.n.02')
Synset('document.n.01')	Synset('merchant.n.01')		other_cos-45.4	Synset('monetary_unit.n.01')
appear-48.1.1	Synset('legislature.n.01')		Synset('idea.n.01')	Synset('fund.n.01')
near	Synset('choice.n.02')		battle-36.4-1	Synset('politician.n.02')
other_cos-45.4	Synset('common_fraction.n.01')		get-13.5.1	Synset('start.n.01')
Synset('merchant.n.01')	Synset('tax.n.01')		Synset('monetary_unit.n.01')	Synset('indefinite_quantity.n.01')
appear-48.1.1	Synset('immunodeficiency.n.01')		appear-48.1.1	Synset('illness.n.01')
appear-48.1.1	Synset('happening.n.01')		escape-51.1-1	Synset('large_integer.n.01')
amuse-31.1	Synset('agent.n.05')		calibratable_cos-45.6-1	Synset('assets.n.01')
appear-48.1.1	Synset('shooting.n.01')		Synset('adult.n.01')	Synset('ill_health.n.01')
appear-48.1.1	Synset('fuel.n.01')		characterize-29.2-1	Synset('possibility.n.02')
Synset('happening.n.01')	Synset('room.n.01')		disappearance-48.2	brooklyn
Synset('change.n.01')	assessment-34		Synset('property.n.02')	Synset('stream.n.01')
appear-48.1.1	Synset('fuel.n.01')		judgement-33	gore
amuse-31.1	Synset('activity.n.01')		get-13.5.1	Synset('person.n.01')
search-35.2	Synset('broadcasting.n.02')		Synset('person.n.01')	Synset('force.n.04')
cheat-10.6-1	Synset('economic_process.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
stop-55.4-1	Synset('precious_metal.n.01')		Synset('monetary_unit.n.01')	Synset('commerce.n.01')
Synset('time_period.n.01')	stop-55.4-1		conjecture-29.5-1	Synset('animal.n.01')
Synset('income.n.01')	Synset('capitalist.n.02')		calibratable_cos-45.6-1	Synset('scale.n.01')
Synset('activity.n.01')	Synset('agent.n.03')		Synset('noise.n.01')	Synset('heavier-than-air_craft.n.01')
bring-11.3	Synset('way.n.06')		appear-48.1.1	Synset('content.n.05')
amuse-31.1	Synset('serviceman.n.01')		Synset('adult.n.01')	masquerade-29.6-2
bring-11.3	Synset('framework.n.03')		Synset('value.n.02')	Synset('funds.n.01')
escape-51.1-2	devil		appear-48.1.1	Synset('military_action.n.01')
fill-9.8	Synset('attempt.n.01')		other_cos-45.4	Synset('military_action.n.01')
bump-18.4	Synset('motor_vehicle.n.01')		Synset('happening.n.01')	murder-42.1-1
calibratable_cos-45.6-1	Synset('framework.n.03')		judgement-33	Synset('federal_government.n.01')
Synset('discussion.n.02')	neglect-75-1-1		amuse-31.1	Synset('confederate_soldier.n.01')
Synset('lipid.n.01')	Synset('tube.n.01')		stop-55.4-1	Synset('gathering.n.01')
indicate-78-1	do		Synset('capital.n.01')	Synset('swimming.n.01')
await	Synset('agent.n.05')		calibratable_cos-45.6-1	Synset('value.n.02')
Synset('agent.n.05')	Synset('decision.n.01')		stop-55.4-1	Synset('common_fraction.n.01')
fill-9.8	Synset('leader.n.01')		amuse-31.1	Synset('administrative_district.n.01')
begin-55.1-1	Synset('value.n.02')		appear-48.1.1	Synset('gregorian_calendar_month.n.01')
other_cos-45.4	Synset('class.n.03')		calibratable_cos-45.6-1	Synset('conductor.n.02')
calibratable_cos-45.6-1	Synset('monetary_unit.n.01')		appear-48.1.1	Synset('curiosity.n.01')
Synset('gathering.n.01')	modes_of_being_with_motion-47.3		Synset('monetary_unit.n.01')	Synset('indefinite_quantity.n.01')
Synset('lipid.n.01')	Synset('slope.n.01')		appear-48.1.1	Synset('gregorian_calendar_month.n.01')
Synset('military_action.n.01')	Synset('legislature.n.01')		Synset('levy.n.01')	Synset('property.n.01')
Synset('job_action.n.01')	Synset('gas.n.02')		other_cos-45.4	Synset('municipality.n.01')
near	Synset('cyclone.n.02')		search-35.2	Synset('broadcasting.n.02')
amuse-31.1	Synset('agent.n.05')		Synset('monetary_unit.n.01')	Synset('sphere.n.05')
conjecture-29.5-1	Synset('magnitude_relation.n.01')		Synset('monetary_unit.n.01')	Synset('indefinite_quantity.n.01')
Synset('precipitation.n.03')	Synset('region.n.03')		Synset('atmospheric_phenomenon.n.01')	hit-18.1-1
bring-11.3	Synset('legislature.n.01')		Synset('building.n.01')	clear-10.3-1
escape-51.1-2	Synset('contestant.n.01')		Synset('politician.n.02')	Synset('legislature.n.01')
calibratable_cos-45.6-1	Synset('activity.n.01')		other_cos-45.4	Synset('framework.n.03')
Synset('value.n.02')	Synset('fuel.n.01')		characterize-29.2-1	Synset('possibility.n.02')
appear-48.1.1	Synset('lawman.n.01')		stop-55.4-1	Synset('succession.n.02')
Synset('discussion.n.02')	continue-55.3		build-26.1-1	Synset('speech_act.n.01')
Synset('assets.n.01')	Synset('medium_of_exchange.n.01')		Synset('value.n.02')	Synset('funds.n.01')
Synset('choice.n.02')	await		other_cos-45.4	Synset('monetary_unit.n.01')
other_cos-45.4	Synset('atmospheric_phenomenon.n.01')		calibratable_cos-45.6-1	Synset('cereal.n.01')
other_cos-45.4	Synset('person.n.01')		Synset('juvenile.n.01')	search-35.2
appear-48.1.1	Synset('disorder.n.03')		Synset('written_agreement.n.01')	Synset('environmental_condition.n.01')
other_cos-45.4	Synset('atmospheric_phenomenon.n.01')		Synset('american.n.01')	Synset('residence.n.01')
contiguous_location-47.8-1	Synset('communicator.n.01')		Synset('change.n.01')	put-9.1
Synset('politician.n.02')	Synset('legislature.n.01')		admire-31.2	Synset('leader.n.01')
other_cos-45.4	Synset('rate.n.01')		Synset('assets.n.01')	Synset('medium_of_exchange.n.01')
Synset('activity.n.01')	neglect-75-1-1		Synset('happening.n.01')	bronx
conjecture-29.5-2	Synset('clue.n.02')		calibratable_cos-45.6-1	dow
exist-47.1-1	Synset('legislature.n.01')		Synset('building.n.01')	clear-10.3-1
Synset('monetary_unit.n.01')	continue-55.3		Synset('value.n.02')	Synset('small_indefinite_quantity.n.01')
dow	Synset('component.n.01')		other_cos-45.4	Synset('gathering.n.01')
amuse-31.1	france		Synset('discussion.n.02')	bosnia
Synset('change.n.01')	Synset('atmospheric_phenomenon.n.01')		light_emission-43.1	Synset('annoyance.n.02')
bring-11.3	Synset('profanity.n.01')		Synset('woody_plant.n.01')	characterize-29.2
Synset('cereal.n.01')	Synset('bean.n.02')		Synset('value.n.02')	keep-15.2
Synset('container.n.01')	davis		appear-48.1.1	contribute-13.2-1
mexico	Synset('diplomat.n.01')		Synset('woody_plant.n.01')	characterize-29.2
appear-48.1.1	dow		Synset('framework.n.03')	rebound
other_cos-45.4	Synset('situation.n.03')		amuse-31.1	Synset('person.n.01')
appear-48.1.1	bronx		disappearance-48.2	Synset('defender.n.01')
other_cos-45.4	Synset('organic_process.n.01')		appear-48.1.1	Synset('framework.n.03')
calibratable_cos-45.6-1	Synset('income.n.01')		other_cos-45.4	Synset('assets.n.01')
begin-55.1-1	Synset('class.n.03')		characterize-29.2-1	Synset('share.n.01')
Synset('anticipation.n.01')	Synset('share.n.01')		Synset('framework.n.03')	Synset('object.n.01')
stop-55.4-1	Synset('precious_metal.n.01')		Synset('monetary_unit.n.01')	Synset('longing.n.01')
Synset('share.n.01')	Synset('merchant.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
continue-55.3	Synset('aggression.n.03')		appear-48.1.1	Synset('choice.n.02')
other_cos-45.4	Synset('rate.n.01')		calibratable_cos-45.6-1	Synset('production.n.07')
calibratable_cos-45.6-1	dow		Synset('agent.n.05')	Synset('decision.n.01')
escape-51.1-2	Synset('structure.n.01')		Synset('discussion.n.02')	linger-53.1-1
Synset('asian.n.01')	gaza		Synset('slope.n.01')	west
appear-48.1.1	Synset('collection.n.01')		Synset('person.n.01')	Synset('job_action.n.01')
exist-47.1-1	Synset('economic_process.n.01')		Synset('value.n.02')	Synset('gathering.n.01')
battle-36.4-1	Synset('race.n.01')		ferret-35.6	Synset('share.n.01')
Synset('tax.n.01')	Synset('curiosity.n.01')		Synset('monetary_unit.n.01')	Synset('emergence.n.01')
Synset('collection.n.01')	Synset('merchant.n.01')		Synset('value.n.02')	send-11.1-1
Synset('merchant.n.01')	Synset('agent.n.05')		Synset('attraction.n.01')	send-11.1-1
Synset('force.n.04')	escape-51.1-1		amuse-31.1	Synset('motor_vehicle.n.01')
escape-51.1-2	Synset('emotion.n.01')		other_cos-45.4	Synset('gas.n.02')
Synset('happening.n.01')	Synset('unit.n.03')		disappearance-48.2	Synset('child.n.02')
dow	send-11.1-1		Synset('framework.n.03')	modes_of_being_with_motion-47.3
appear-48.1.1	Synset('gossip.n.02')		Synset('skilled_worker.n.01')	complete-55.2
Synset('collection.n.01')	Synset('merchant.n.01')		stop-55.4-1	Synset('conference.n.03')
appear-48.1.1	Synset('precious_metal.n.01')		Synset('monetary_unit.n.01')	contiguous_location-47.8
Synset('tax.n.01')	Synset('curiosity.n.01')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
Synset('activity.n.01')	contribute-13.2-1		calibratable_cos-45.6-1	dow
other_cos-45.4	Synset('body_of_water.n.01')		calibratable_cos-45.6-1	Synset('value.n.02')
exist-47.1-1	Synset('choice.n.02')		Synset('happening.n.01')	microsoft
convert-26.6.2	Synset('aid.n.02')		Synset('gathering.n.01')	Synset('application.n.01')
convert-26.6.2	Synset('concentration.n.05')		correspond-36.1	Synset('production.n.07')
contribute-13.2-1	Synset('kindness.n.03')		Synset('person.n.01')	Synset('municipality.n.01')
appear-48.1.1	Synset('choice.n.02')		Synset('indefinite_quantity.n.01')	wish-62
begin-55.1-1	Synset('transgression.n.01')		Synset('discussion.n.02')	Synset('building.n.01')
stop-55.4-1	Synset('conference.n.03')		Synset('activity.n.01')	Synset('statement.n.01')
other_cos-45.4	Synset('share.n.01')		calibratable_cos-45.6-1	Synset('framework.n.03')
Synset('happening.n.01')	Synset('building.n.01')		Synset('activity.n.01')	Synset('being.n.01')
Synset('conflict.n.01')	lebanon		put-9.1	Synset('fee.n.01')
Synset('merchant.n.01')	focus-87		Synset('monetary_unit.n.01')	modes_of_being_with_motion-47.3
Synset('activity.n.01')	Synset('recovery.n.03')		Synset('happening.n.01')	bronx
stop-55.4-1	Synset('discussion.n.02')		characterize-29.2-1	Synset('indefinite_quantity.n.01')
Synset('emotion.n.01')	cheat-10.6-1		Synset('value.n.02')	Synset('conductor.n.02')
Synset('educational_institution.n.01')	Synset('supporter.n.01')		Synset('property.n.02')	accompany-51.7
amuse-31.1	Synset('educator.n.01')		characterize-29.2-1	Synset('discussion.n.02')
Synset('chromatic_color.n.01')	defeat		appear-48.1.1	Synset('artifact.n.01')
appear-48.1.1	Synset('happening.n.01')		fill-9.8	Synset('hindrance.n.01')
other_cos-45.4	Synset('feeling.n.01')		fill-9.8	Synset('quality.n.01')
characterize-29.2-1	Synset('military_action.n.01')		Synset('value.n.02')	Synset('precious_metal.n.01')
appear-48.1.1	dow		obtain-13.5.2	Synset('object.n.01')
Synset('emotion.n.01')	cheat-10.6-1		appear-48.1.1	Synset('time_unit.n.01')
entity_specific_modes_being-47.2	Synset('conflict.n.01')		Synset('discussion.n.02')	linger-53.1-1
amuse-31.1	Synset('merchant.n.01')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
Synset('motor_vehicle.n.01')	Synset('operator.n.02')		Synset('adult.n.01')	characterize-29.2-1-1
wish-62	Synset('merchant.n.01')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
calibratable_cos-45.6-1	Synset('commodity.n.01')		calibratable_cos-45.6-1	Synset('commerce.n.01')
Synset('woody_plant.n.01')	Synset('motor_vehicle.n.01')		murder-42.1-1	Synset('adult.n.01')
continue-55.3	Synset('computer_network.n.01')		Synset('value.n.02')	Synset('capital.n.01')
continue-55.3	Synset('aggression.n.03')		Synset('organization.n.01')	Synset('phenomenon.n.01')
contiguous_location-47.8	Synset('tax.n.01')		bring-11.3	Synset('framework.n.03')
amuse-31.1	indicate-78-1		Synset('time_period.n.01')	Synset('municipality.n.01')
contribute-13.2-1	keep-15.2		get-13.5.1	begin-55.1-1
bump-18.4	Synset('degree.n.01')		calibratable_cos-45.6-1	dow
appear-48.1.1	Synset('emotion.n.01')		appear-48.1.1	Synset('tax.n.01')
begin-55.1-1	Synset('season.n.02')		get-13.5.1	Synset('computer_network.n.01')
Synset('time_period.n.01')	crane-40.3.2		Synset('leader.n.01')	Synset('residence.n.01')
other_cos-45.4	Synset('value.n.02')		calibratable_cos-45.6-1	Synset('cereal.n.01')
near	Synset('race.n.01')		Synset('time_period.n.01')	Synset('area.n.01')
Synset('value.n.02')	Synset('lipid.n.01')		appear-48.1.1	Synset('insufficiency.n.03')
Synset('income.n.01')	Synset('action.n.01')		calibratable_cos-45.6-1	dow
amuse-31.1	Synset('danger.n.03')		calibratable_cos-45.6-1	dow
bring-11.3	Synset('capitalist.n.02')		Synset('value.n.02')	Synset('withdrawal.n.03')
appear-48.1.1	Synset('extent.n.02')		Synset('change.n.01')	Synset('fee.n.01')
Synset('motor_vehicle.n.01')	Synset('explosive_device.n.01')		disappearance-48.2	Synset('arab.n.01')
other_cos-45.4	Synset('formation.n.01')		Synset('share.n.01')	Synset('levy.n.01')
near	Synset('point.n.06')		Synset('discussion.n.02')	linger-53.1-1
begin-55.1-1	Synset('problem_solving.n.02')		Synset('bodily_process.n.01')	Synset('mistreatment.n.01')
appear-48.1.1	Synset('disorder.n.03')		complete-55.2	Synset('clergyman.n.01')
appear-48.1.1	Synset('magnitude_relation.n.01')		calibratable_cos-45.6-1	Synset('capital.n.01')
other_cos-45.4	Synset('commerce.n.01')		Synset('framework.n.03')	Synset('small_indefinite_quantity.n.01')
calibratable_cos-45.6-1	Synset('artifact.n.01')		Synset('value.n.02')	Synset('funds.n.01')
exist-47.1-1	Synset('legislature.n.01')		Synset('levy.n.01')	Synset('property.n.01')
Synset('discussion.n.02')	Synset('legislature.n.01')		amuse-31.1	Synset('structure.n.01')
appear-48.1.1	Synset('payment.n.02')		Synset('agent.n.03')	Synset('reimbursement.n.01')
appear-48.1.1	Synset('workplace.n.01')		appear-48.1.1	Synset('belief.n.01')
other_cos-45.4	Synset('share.n.01')		dow	Synset('component.n.01')
Synset('force.n.04')	battle-36.4-1		india	kashmir
calibratable_cos-45.6-1	Synset('tax.n.01')		Synset('content.n.05')	Synset('funds.n.01')
calibratable_cos-45.6-1	Synset('plant.n.01')		Synset('value.n.02')	Synset('swimming.n.01')
Synset('merchant.n.01')	Synset('evaluation.n.02')		crane-40.3.2	correspond-36.1
amuse-31.1	west		appear-48.1.1	Synset('collection.n.01')
exist-47.1-1	Synset('capitalist.n.02')		calibratable_cos-45.6-1	Synset('funds.n.01')
escape-51.1-2	Synset('aggression.n.03')		amuse-31.1	Synset('body.n.02')
Synset('tax.n.01')	Synset('agent.n.05')		appear-48.1.1	Synset('activity.n.01')
Synset('agent.n.03')	Synset('baseball_team.n.01')		Synset('emergence.n.01')	Synset('aggression.n.03')
Synset('cereal.n.01')	Synset('bean.n.02')		appear-48.1.1	keep-15.2
amuse-31.1	indicate-78-1		Synset('time_period.n.01')	preparing-26.3-1
calibratable_cos-45.6-1	Synset('lawman.n.01')		appear-48.1.1	Synset('phenomenon.n.01')
Synset('income.n.01')	Synset('capitalist.n.02')		Synset('value.n.02')	Synset('funds.n.01')
Synset('capitalist.n.02')	Synset('shelter.n.01')		Synset('value.n.02')	Synset('precious_metal.n.01')
Synset('time_period.n.01')	near		other_cos-45.4	Synset('asian.n.01')
other_cos-45.4	Synset('immunodeficiency.n.01')		appear-48.1.1	Synset('municipality.n.01')
Synset('work.n.01')	cope-83-1-1		Synset('idea.n.01')	Synset('eubacteria.n.01')
neglect-75-1-1	masquerade-29.6-1		calibratable_cos-45.6-1	dow
Synset('agent.n.05')	Synset('decision.n.01')		calibratable_cos-45.6-1	Synset('framework.n.03')
contribute-13.2-1	Synset('politician.n.02')		Synset('happening.n.01')	admire-31.2
calibratable_cos-45.6-1	Synset('insufficiency.n.03')		Synset('value.n.02')	Synset('conductor.n.02')
convert-26.6.2	Synset('concentration.n.05')		Synset('monetary_unit.n.01')	modes_of_being_with_motion-47.3
Synset('extremity.n.04')	Synset('race.n.01')		appear-48.1.1	Synset('broadcasting.n.02')
calibratable_cos-45.6-1	dow		Synset('merchant.n.01')	Synset('agent.n.05')
Synset('collection.n.01')	cheat-10.6-1		calibratable_cos-45.6-1	Synset('tax.n.01')
calibratable_cos-45.6-1	Synset('activity.n.01')		other_cos-45.4	Synset('administrative_unit.n.01')
begin-55.1-1	Synset('value.n.02')		Synset('commerce.n.01')	Synset('gregorian_calendar_month.n.01')
amuse-31.1	Synset('tax.n.01')		calibratable_cos-45.6-1	Synset('monetary_unit.n.01')
other_cos-45.4	Synset('monetary_unit.n.01')		calibratable_cos-45.6-1	dow
escape-51.1-1	new_york		Synset('person.n.01')	murder-42.1-1
Synset('discussion.n.02')	linger-53.1-1		Synset('force.n.04')	Synset('municipality.n.01')
calibratable_cos-45.6-1	Synset('value.n.02')		crane-40.3.2	Synset('skilled_worker.n.01')
appear-48.1.1	Synset('commodity.n.01')		appear-48.1.1	Synset('political_unit.n.01')
calibratable_cos-45.6-1	Synset('value.n.02')		crane-40.3.2	correspond-36.1
Synset('happening.n.01')	queens		Synset('adult.n.01')	disappearance-48.2
other_cos-45.4	Synset('anticipation.n.01')		begin-55.1-1	Synset('journey.n.01')
bring-11.3	Synset('income.n.01')		Synset('attraction.n.01')	send-11.1-1
exist-47.1-1	Synset('commerce.n.01')		appear-48.1.1	dow
Synset('legislature.n.01')	Synset('proceeding.n.01')		Synset('lipid.n.01')	Synset('commercial_enterprise.n.01')
Synset('activity.n.01')	Synset('capital.n.01')		Synset('precious_metal.n.01')	Synset('degree.n.01')
do	Synset('propulsion.n.02')		calibratable_cos-45.6-1	Synset('computer_network.n.01')
calibratable_cos-45.6-1	Synset('value.n.02')		appear-48.1.1	Synset('framework.n.03')
